Core Based Statistical Area (CBSA),2010 Population,CBSA Code,CO           8-hr (ppm),Pb          3-mo (µg/m3),NO2      AM (ppb),NO2          1-hr (ppb),O3            8-hr (ppm),PM10         24-hr (µg/m3) ,PM2.5         Wtd AM (µg/m3) ,PM2.5         24-hr (µg/m3) ,SO2         1-hr (ppb)
"Aberdeen, SD",40602,10100,ND,ND,ND,ND,ND,106,4.2,15,ND
"Aberdeen, WA",72797,10140,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Ada, OK",37492,10220,ND,ND,ND,ND,ND,45,ND,ND,ND
"Adjuntas, PR",19483,10260,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Adrian, MI",99892,10300,ND,ND,ND,ND,0.065,ND,8.3,23,ND
"Aguadilla-Isabela, PR",339441,10380,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Akron, OH",703200,10420,ND,ND,ND,ND,0.071,ND,7.9,19,6
"Albany, GA",157308,10500,ND,ND,ND,ND,ND,ND,8.3,17,ND
"Albany, OR",116672,10540,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Albany-Schenectady-Troy, NY",870716,10580,ND,ND,ND,ND,0.06,ND,6.7,17,ND
"Albert Lea, MN",31255,10660,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Albuquerque, NM",887077,10740,2,ND,9,44,0.074,449,10.7,31,3
"Alexandria, LA",153922,10780,ND,ND,ND,ND,ND,ND,7.7,17,ND
"Alexandria, MN",36009,10820,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Allentown-Bethlehem-Easton, PA-NJ",821173,10900,ND,0.02,11,40,0.063,39,8.6,24,5
"Alpena, MI",29598,10980,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Altoona, PA",127089,11020,ND,ND,ND,ND,0.062,ND,IN,IN,6
"Amarillo, TX",251933,11100,ND,ND,ND,ND,0.071,ND,6.2,16,158
"Americus, GA",37829,11140,ND,ND,ND,ND,0.059,ND,ND,ND,ND
"Ames, IA",89542,11180,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Anchorage, AK",380821,11260,2,ND,ND,ND,ND,101,4.9,24,ND
"Ann Arbor, MI",344791,11460,ND,ND,ND,ND,0.067,ND,8.9,26,ND
"Appleton, WI",225666,11540,ND,ND,ND,ND,0.063,ND,7.6,20,82
"Ardmore, OK",47557,11620,ND,ND,ND,ND,0.075,ND,7.7,23,ND
"Arecibo, PR",199471,11640,ND,0.35,ND,ND,ND,ND,ND,ND,ND
"Arkadelphia, AR",22995,11660,ND,ND,ND,ND,0.06,ND,ND,ND,ND
"Asheville, NC",424858,11700,ND,ND,ND,ND,0.064,ND,5.8,12,35
"Ashtabula, OH",101497,11780,ND,ND,ND,ND,0.073,ND,ND,ND,ND
"Athens, OH",64757,11900,ND,ND,ND,ND,ND,ND,5.5,13,ND
"Athens, TN",52266,11940,ND,ND,ND,ND,ND,ND,7.7,16,ND
"Athens-Clarke County, GA",192541,12020,ND,ND,ND,ND,0.063,ND,9.1,22,ND
"Atlanta-Sandy Springs-Roswell, GA",5286728,12060,2,ND,16,52,0.069,48,8.9,19,4
"Atlantic City-Hammonton, NJ",274549,12100,ND,ND,ND,ND,0.06,ND,6.1,13,1
"Augusta-Richmond County, GA-SC",564873,12260,ND,ND,ND,ND,0.062,42,8.5,18,53
"Augusta-Waterville, ME",122151,12300,ND,ND,ND,ND,0.054,37,4.9,14,ND
"Austin-Round Rock, TX",1716289,12420,1,ND,13,IN,0.073,57,9.5,23,IN
"Bakersfield, CA",839631,12540,1,ND,22,55,0.087,243,16.6,52,ND
"Baltimore-Columbia-Towson, MD",2710489,12580,1,ND,15,44,0.069,20,6.9,16,3
"Bangor, ME",153923,12620,ND,ND,ND,ND,0.059,47,4.8,12,ND
"Baraboo, WI",61976,12660,ND,ND,ND,ND,0.06,55,7.3,19,ND
"Barnstable Town, MA",215888,12700,ND,ND,ND,ND,0.06,ND,ND,ND,ND
"Barre, VT",59534,12740,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Bartlesville, OK",50976,12780,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Baton Rouge, LA",802484,12940,1,0.01,8,43,0.072,68,9.1,20,20
"Bay City, MI",107771,13020,ND,ND,ND,ND,ND,ND,6.4,18,ND
"Beatrice, NE",22311,13100,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Beaumont-Port Arthur, TX",403190,13140,ND,ND,6,34,0.065,ND,8.5,21,56
"Beaver Dam, WI",88759,13180,0,ND,ND,ND,0.065,60,7.4,20,2
"Beckley, WV",124898,13220,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Bellingham, WA",201140,13380,ND,ND,ND,ND,0.048,ND,IN,IN,3
"Bemidji, MN",44442,13420,ND,ND,ND,ND,ND,ND,4.7,11,ND
"Bend-Redmond, OR",157733,13460,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Bennington, VT",37125,13540,ND,ND,ND,ND,0.057,ND,5.5,12,ND
"Berlin, NH-VT",39361,13620,ND,ND,ND,ND,0.056,ND,IN,IN,ND
