Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-01-03,We're All Going to the World's Fair,2021,https://boxd.it/5ttxYH,3,,,2024-01-02
2024-01-03,Ferrari,2023,https://boxd.it/5ttzn9,3.5,,,2024-01-02
2024-01-03,Oppenheimer,2023,https://boxd.it/5ttEvd,3,,,2024-01-02
2024-01-03,The Menu,2022,https://boxd.it/5ttFon,1.5,,,2024-01-02
2024-01-03,La La Land,2016,https://boxd.it/5ttGQR,2.5,,,2024-01-02
2024-01-03,Air,2023,https://boxd.it/5ttJW9,4,Yes,,2024-01-02
2024-01-03,Barbie,2023,https://boxd.it/5ttMfH,3.5,Yes,,2024-01-02
2024-01-03,The Killing of a Sacred Deer,2017,https://boxd.it/5ttZJl,4.5,,,2024-01-02
2024-01-03,Vivarium,2019,https://boxd.it/5tu15H,4.5,,,2024-01-02
2024-01-15,Saltburn,2023,https://boxd.it/5B9nAH,2,,,2024-01-14
2024-01-28,Possession,1981,https://boxd.it/5Hld0x,3.5,,,2024-01-26
